,NAME,STABREV,number_uninsured,percent_uninsured,RACECAT,race_category,time,state,highlight
1,Alabama,AL,600542,0.153,0,All Races,2008,01,0
5,Alaska,AK,128812,0.205,0,All Races,2008,02,0
9,Arizona,AZ,1138508,0.205,0,All Races,2008,04,0
13,Arkansas,AR,472500,0.198,0,All Races,2008,05,0
17,California,CA,6166623,0.192,0,All Races,2008,06,0
21,Colorado,CO,785439,0.18100000000000002,0,All Races,2008,08,0
25,Connecticut,CT,298164,0.10099999999999999,0,All Races,2008,09,0
29,Delaware,DE,85208,0.11699999999999999,0,All Races,2008,10,0
33,District of Columbia,DC,42390,0.086,0,All Races,2008,11,0
37,Florida,FL,3581341,0.242,0,All Races,2008,12,0
41,Georgia,GA,1700333,0.201,0,All Races,2008,13,0
45,Hawaii,HI,85490,0.077,0,All Races,2008,15,0
49,Idaho,ID,250615,0.191,0,All Races,2008,16,0
53,Illinois,IL,1542646,0.139,0,All Races,2008,17,0
57,Indiana,IN,817222,0.151,0,All Races,2008,18,0
61,Iowa,IA,248020,0.1,0,All Races,2008,19,0
65,Kansas,KS,305209,0.128,0,All Races,2008,20,0
69,Kentucky,KY,542705,0.15,0,All Races,2008,21,0
73,Louisiana,LA,732996,0.195,0,All Races,2008,22,0
77,Maine,ME,131753,0.121,0,All Races,2008,23,0
81,Maryland,MD,596241,0.12300000000000001,0,All Races,2008,24,0
85,Massachusetts,MA,240442,0.044000000000000004,0,All Races,2008,25,2
89,Michigan,MI,1054990,0.124,0,All Races,2008,26,0
93,Minnesota,MN,423662,0.095,0,All Races,2008,27,0
97,Mississippi,MS,479108,0.193,0,All Races,2008,28,0
101,Missouri,MO,711271,0.14300000000000002,0,All Races,2008,29,0
105,Montana,MT,166021,0.204,0,All Races,2008,30,0
109,Nebraska,NE,184040,0.122,0,All Races,2008,31,0
113,Nevada,NV,529094,0.23199999999999998,0,All Races,2008,32,0
117,New Hampshire,NH,134877,0.121,0,All Races,2008,33,0
121,New Jersey,NJ,1017136,0.13699999999999998,0,All Races,2008,34,0
125,New Mexico,NM,404763,0.239,0,All Races,2008,35,1
129,New York,NY,2156461,0.131,0,All Races,2008,36,0
133,North Carolina,NC,1361040,0.174,0,All Races,2008,37,0
137,North Dakota,ND,61607,0.11599999999999999,0,All Races,2008,38,0
141,Ohio,OH,1261883,0.131,0,All Races,2008,39,0
145,Oklahoma,OK,660010,0.215,0,All Races,2008,40,0
149,Oregon,OR,579896,0.18,0,All Races,2008,41,0
153,Pennsylvania,PA,1080141,0.106,0,All Races,2008,42,0
157,Rhode Island,RI,103424,0.11800000000000001,0,All Races,2008,44,0
161,South Carolina,SC,721391,0.192,0,All Races,2008,45,0
165,South Dakota,SD,84655,0.127,0,All Races,2008,46,0
169,Tennessee,TN,777755,0.14800000000000002,0,All Races,2008,47,0
173,Texas,TX,5494593,0.257,0,All Races,2008,48,0
177,Utah,UT,399117,0.163,0,All Races,2008,49,0
181,Vermont,VT,53056,0.10300000000000001,0,All Races,2008,50,0
185,Virginia,VA,874962,0.132,0,All Races,2008,51,0
189,Washington,WA,796579,0.14,0,All Races,2008,53,0
193,West Virginia,WV,259978,0.174,0,All Races,2008,54,0
197,Wisconsin,WI,476388,0.1,0,All Races,2008,55,0
201,Wyoming,WY,71703,0.158,0,All Races,2008,56,0
205,Alabama,AL,623621,0.158,0,All Races,2009,01,0
209,Alaska,AK,144785,0.22699999999999998,0,All Races,2009,02,0
213,Arizona,AZ,1118761,0.19899999999999998,0,All Races,2009,04,0
217,Arkansas,AR,471567,0.196,0,All Races,2009,05,0
221,California,CA,6491176,0.201,0,All Races,2009,06,0
225,Colorado,CO,756645,0.172,0,All Races,2009,08,0
229,Connecticut,CT,299521,0.102,0,All Races,2009,09,0
233,Delaware,DE,88758,0.12,0,All Races,2009,10,0
237,District of Columbia,DC,40951,0.08199999999999999,0,All Races,2009,11,0
241,Florida,FL,3735524,0.249,0,All Races,2009,12,0
245,Georgia,GA,1815729,0.212,0,All Races,2009,13,0
249,Hawaii,HI,91365,0.08199999999999999,0,All Races,2009,15,0
253,Idaho,ID,257017,0.193,0,All Races,2009,16,0
257,Illinois,IL,1658111,0.15,0,All Races,2009,17,0
261,Indiana,IN,882602,0.162,0,All Races,2009,18,0
265,Iowa,IA,247530,0.1,0,All Races,2009,19,0
269,Kansas,KS,349636,0.146,0,All Races,2009,20,0
273,Kentucky,KY,601743,0.165,0,All Races,2009,21,0
277,Louisiana,LA,766181,0.2,0,All Races,2009,22,0
281,Maine,ME,135054,0.125,0,All Races,2009,23,0
285,Maryland,MD,627606,0.129,0,All Races,2009,24,0
289,Massachusetts,MA,269241,0.049,0,All Races,2009,25,2
293,Michigan,MI,1173560,0.139,0,All Races,2009,26,0
297,Minnesota,MN,460534,0.102,0,All Races,2009,27,0
301,Mississippi,MS,509923,0.205,0,All Races,2009,28,0
305,Missouri,MO,764772,0.152,0,All Races,2009,29,0
309,Montana,MT,176837,0.217,0,All Races,2009,30,0
313,Nebraska,NE,202324,0.133,0,All Races,2009,31,0
317,Nevada,NV,565573,0.245,0,All Races,2009,32,0
321,New Hampshire,NH,133464,0.12,0,All Races,2009,33,0
325,New Jersey,NJ,1071584,0.14400000000000002,0,All Races,2009,34,0
329,New Mexico,NM,394687,0.22899999999999998,0,All Races,2009,35,1
333,New York,NY,2172693,0.132,0,All Races,2009,36,0
337,North Carolina,NC,1431168,0.18,0,All Races,2009,37,0
341,North Dakota,ND,61244,0.115,0,All Races,2009,38,0
345,Ohio,OH,1358090,0.14,0,All Races,2009,39,0
349,Oklahoma,OK,666731,0.214,0,All Races,2009,40,0
353,Oregon,OR,628573,0.19399999999999998,0,All Races,2009,41,0
357,Pennsylvania,PA,1203026,0.11699999999999999,0,All Races,2009,42,0
361,Rhode Island,RI,116176,0.133,0,All Races,2009,44,0
365,South Carolina,SC,737955,0.19399999999999998,0,All Races,2009,45,0
369,South Dakota,SD,99891,0.14800000000000002,0,All Races,2009,46,0
373,Tennessee,TN,867718,0.163,0,All Races,2009,47,0
377,Texas,TX,5710171,0.263,0,All Races,2009,48,0
381,Utah,UT,397794,0.159,0,All Races,2009,49,0
385,Vermont,VT,53420,0.10400000000000001,0,All Races,2009,50,0
389,Virginia,VA,908234,0.136,0,All Races,2009,51,0
393,Washington,WA,865282,0.15,0,All Races,2009,53,0
397,West Virginia,WV,250222,0.168,0,All Races,2009,54,0
401,Wisconsin,WI,506363,0.106,0,All Races,2009,55,0
405,Wyoming,WY,80707,0.17300000000000001,0,All Races,2009,56,0
409,Alabama,AL,681437,0.16899999999999998,0,All Races,2010,01,0
413,Alaska,AK,138777,0.214,0,All Races,2010,02,0
417,Arizona,AZ,1042809,0.193,0,All Races,2010,04,0
421,Arkansas,AR,500134,0.20600000000000002,0,All Races,2010,05,0
425,California,CA,6720279,0.207,0,All Races,2010,06,0
429,Colorado,CO,777411,0.177,0,All Races,2010,08,0
433,Connecticut,CT,309864,0.10400000000000001,0,All Races,2010,09,0
437,Delaware,DE,86894,0.11599999999999999,0,All Races,2010,10,0
441,District of Columbia,DC,45483,0.09,0,All Races,2010,11,0
445,Florida,FL,3853392,0.253,0,All Races,2010,12,0
449,Georgia,GA,1848505,0.21899999999999997,0,All Races,2010,13,0
453,Hawaii,HI,102658,0.08900000000000001,0,All Races,2010,15,0
457,Idaho,ID,273440,0.203,0,All Races,2010,16,0
461,Illinois,IL,1717178,0.156,0,All Races,2010,17,0
465,Indiana,IN,929589,0.17,0,All Races,2010,18,0
469,Iowa,IA,270219,0.107,0,All Races,2010,19,0
473,Kansas,KS,380567,0.158,0,All Races,2010,20,0
477,Kentucky,KY,640974,0.175,0,All Races,2010,21,0
481,Louisiana,LA,793782,0.205,0,All Races,2010,22,0
485,Maine,ME,132154,0.122,0,All Races,2010,23,0
489,Maryland,MD,630139,0.127,0,All Races,2010,24,0
493,Massachusetts,MA,281724,0.052000000000000005,0,All Races,2010,25,2
497,Michigan,MI,1193021,0.14300000000000002,0,All Races,2010,26,0
501,Minnesota,MN,468857,0.10300000000000001,0,All Races,2010,27,0
505,Mississippi,MS,525570,0.21,0,All Races,2010,28,0
509,Missouri,MO,766031,0.153,0,All Races,2010,29,0
513,Montana,MT,170509,0.207,0,All Races,2010,30,0
517,Nebraska,NE,206100,0.134,0,All Races,2010,31,0
521,Nevada,NV,589059,0.251,0,All Races,2010,32,0
525,New Hampshire,NH,143475,0.13,0,All Races,2010,33,0
529,New Jersey,NJ,1124840,0.15,0,All Races,2010,34,0
533,New Mexico,NM,397890,0.226,0,All Races,2010,35,1
537,New York,NY,2245437,0.13699999999999998,0,All Races,2010,36,0
541,North Carolina,NC,1549918,0.191,0,All Races,2010,37,0
545,North Dakota,ND,63683,0.114,0,All Races,2010,38,0
549,Ohio,OH,1384046,0.14300000000000002,0,All Races,2010,39,0
553,Oklahoma,OK,691408,0.21899999999999997,0,All Races,2010,40,0
557,Oregon,OR,639710,0.19699999999999998,0,All Races,2010,41,0
561,Pennsylvania,PA,1254674,0.121,0,All Races,2010,42,0
565,Rhode Island,RI,120001,0.138,0,All Races,2010,44,0
569,South Carolina,SC,785961,0.203,0,All Races,2010,45,0
573,South Dakota,SD,94404,0.139,0,All Races,2010,46,0
577,Tennessee,TN,888747,0.166,0,All Races,2010,47,0
581,Texas,TX,5820793,0.263,0,All Races,2010,48,0
585,Utah,UT,414476,0.16699999999999998,0,All Races,2010,49,0
589,Vermont,VT,49750,0.09699999999999999,0,All Races,2010,50,0
593,Virginia,VA,1009466,0.14800000000000002,0,All Races,2010,51,0
597,Washington,WA,936767,0.161,0,All Races,2010,53,0
601,West Virginia,WV,262794,0.174,0,All Races,2010,54,0
605,Wisconsin,WI,518246,0.10800000000000001,0,All Races,2010,55,0
609,Wyoming,WY,83761,0.17300000000000001,0,All Races,2010,56,0
613,Alabama,AL,669410,0.166,0,All Races,2011,01,0
617,Alaska,AK,141836,0.217,0,All Races,2011,02,0
621,Arizona,AZ,1064887,0.196,0,All Races,2011,04,0
625,Arkansas,AR,490103,0.201,0,All Races,2011,05,0
629,California,CA,6603169,0.20199999999999999,0,All Races,2011,06,0
633,Colorado,CO,753842,0.17,0,All Races,2011,08,0
637,Connecticut,CT,299599,0.10099999999999999,0,All Races,2011,09,0
641,Delaware,DE,84181,0.11199999999999999,0,All Races,2011,10,0
645,District of Columbia,DC,42737,0.083,0,All Races,2011,11,0
649,Florida,FL,3804839,0.248,0,All Races,2011,12,0
653,Georgia,GA,1846990,0.217,0,All Races,2011,13,0
657,Hawaii,HI,94510,0.081,0,All Races,2011,15,0
661,Idaho,ID,255479,0.18899999999999997,0,All Races,2011,16,0
665,Illinois,IL,1627886,0.14800000000000002,0,All Races,2011,17,0
669,Indiana,IN,911674,0.166,0,All Races,2011,18,0
673,Iowa,IA,263528,0.10400000000000001,0,All Races,2011,19,0
677,Kansas,KS,348974,0.14400000000000002,0,All Races,2011,20,0
681,Kentucky,KY,621065,0.16899999999999998,0,All Races,2011,21,0
685,Louisiana,LA,783015,0.201,0,All Races,2011,22,0
689,Maine,ME,139781,0.129,0,All Races,2011,23,0
693,Maryland,MD,595770,0.12,0,All Races,2011,24,0
697,Massachusetts,MA,267661,0.049,0,All Races,2011,25,2
701,Michigan,MI,1130594,0.136,0,All Races,2011,26,0
705,Minnesota,MN,462930,0.102,0,All Races,2011,27,0
709,Mississippi,MS,516526,0.20600000000000002,0,All Races,2011,28,0
713,Missouri,MO,801665,0.16,0,All Races,2011,29,0
717,Montana,MT,178926,0.21600000000000003,0,All Races,2011,30,0
721,Nebraska,NE,205574,0.133,0,All Races,2011,31,0
725,Nevada,NV,560498,0.23800000000000002,0,All Races,2011,32,0
729,New Hampshire,NH,137349,0.125,0,All Races,2011,33,0
733,New Jersey,NJ,1114220,0.149,0,All Races,2011,34,0
737,New Mexico,NM,405848,0.23,0,All Races,2011,35,1
741,New York,NY,2155975,0.132,0,All Races,2011,36,0
745,North Carolina,NC,1528388,0.187,0,All Races,2011,37,0
749,North Dakota,ND,65997,0.11599999999999999,0,All Races,2011,38,0
753,Ohio,OH,1338208,0.139,0,All Races,2011,39,0
757,Oklahoma,OK,695537,0.218,0,All Races,2011,40,0
761,Oregon,OR,589681,0.18100000000000002,0,All Races,2011,41,0
765,Pennsylvania,PA,1249474,0.12,0,All Races,2011,42,0
769,Rhode Island,RI,110145,0.128,0,All Races,2011,44,0
773,South Carolina,SC,755487,0.19399999999999998,0,All Races,2011,45,0
777,South Dakota,SD,94966,0.139,0,All Races,2011,46,0
781,Tennessee,TN,918356,0.17,0,All Races,2011,47,0
785,Texas,TX,5771479,0.257,0,All Races,2011,48,0
789,Utah,UT,417274,0.166,0,All Races,2011,49,0
793,Vermont,VT,40681,0.08,0,All Races,2011,50,0
797,Virginia,VA,979509,0.14300000000000002,0,All Races,2011,51,0
801,Washington,WA,937962,0.16,0,All Races,2011,53,0
805,West Virginia,WV,272782,0.18100000000000002,0,All Races,2011,54,0
809,Wisconsin,WI,494532,0.10300000000000001,0,All Races,2011,55,0
813,Wyoming,WY,84035,0.17300000000000001,0,All Races,2011,56,0
817,Alabama,AL,633845,0.158,0,All Races,2012,01,0
821,Alaska,AK,146928,0.223,0,All Races,2012,02,0
825,Arizona,AZ,1111138,0.204,0,All Races,2012,04,0
829,Arkansas,AR,471902,0.19399999999999998,0,All Races,2012,05,0
833,California,CA,6580078,0.2,0,All Races,2012,06,0
837,Colorado,CO,744887,0.16699999999999998,0,All Races,2012,08,0
841,Connecticut,CT,313293,0.105,0,All Races,2012,09,0
845,Delaware,DE,77920,0.10300000000000001,0,All Races,2012,10,0
849,District of Columbia,DC,36824,0.07,0,All Races,2012,11,0
853,Florida,FL,3724873,0.24100000000000002,0,All Races,2012,12,0
857,Georgia,GA,1767578,0.207,0,All Races,2012,13,0
861,Hawaii,HI,90741,0.078,0,All Races,2012,15,0
865,Idaho,ID,250246,0.185,0,All Races,2012,16,0
869,Illinois,IL,1593191,0.146,0,All Races,2012,17,0
873,Indiana,IN,911449,0.166,0,All Races,2012,18,0
877,Iowa,IA,249896,0.099,0,All Races,2012,19,0
881,Kansas,KS,348613,0.14400000000000002,0,All Races,2012,20,0
885,Kentucky,KY,593832,0.162,0,All Races,2012,21,0
889,Louisiana,LA,755908,0.19399999999999998,0,All Races,2012,22,0
893,Maine,ME,133087,0.124,0,All Races,2012,23,0
897,Maryland,MD,587764,0.11800000000000001,0,All Races,2012,24,0
901,Massachusetts,MA,246614,0.045,0,All Races,2012,25,2
905,Michigan,MI,1103508,0.134,0,All Races,2012,26,0
909,Minnesota,MN,419196,0.092,0,All Races,2012,27,0
913,Mississippi,MS,491937,0.19699999999999998,0,All Races,2012,28,0
917,Missouri,MO,790984,0.158,0,All Races,2012,29,0
921,Montana,MT,178730,0.21600000000000003,0,All Races,2012,30,0
925,Nebraska,NE,200265,0.129,0,All Races,2012,31,0
929,Nevada,NV,580575,0.245,0,All Races,2012,32,0
933,New Hampshire,NH,138091,0.126,0,All Races,2012,33,0
937,New Jersey,NJ,1089994,0.146,0,All Races,2012,34,0
941,New Mexico,NM,378252,0.215,0,All Races,2012,35,1
945,New York,NY,2073007,0.126,0,All Races,2012,36,0
949,North Carolina,NC,1556925,0.19,0,All Races,2012,37,0
953,North Dakota,ND,70025,0.12,0,All Races,2012,38,0
957,Ohio,OH,1294898,0.135,0,All Races,2012,39,0
961,Oklahoma,OK,684288,0.214,0,All Races,2012,40,0
965,Oregon,OR,566354,0.174,0,All Races,2012,41,0
969,Pennsylvania,PA,1210961,0.11699999999999999,0,All Races,2012,42,0
973,Rhode Island,RI,110225,0.128,0,All Races,2012,44,0
977,South Carolina,SC,770336,0.198,0,All Races,2012,45,0
981,South Dakota,SD,94071,0.136,0,All Races,2012,46,0
985,Tennessee,TN,875361,0.162,0,All Races,2012,47,0
989,Texas,TX,5712298,0.252,0,All Races,2012,48,0
993,Utah,UT,398299,0.157,0,All Races,2012,49,0
997,Vermont,VT,39972,0.079,0,All Races,2012,50,0
1001,Virginia,VA,981173,0.142,0,All Races,2012,51,0
1005,Washington,WA,933183,0.158,0,All Races,2012,53,0
1009,West Virginia,WV,264082,0.17600000000000002,0,All Races,2012,54,0
1013,Wisconsin,WI,498050,0.10400000000000001,0,All Races,2012,55,0
1017,Wyoming,WY,84401,0.17300000000000001,0,All Races,2012,56,0
1021,Alabama,AL,637841,0.159,0,All Races,2013,01,0
1025,Alaska,AK,135757,0.20800000000000002,0,All Races,2013,02,0
1029,Arizona,AZ,1092617,0.2,0,All Races,2013,04,0
1033,Arkansas,AR,458780,0.188,0,All Races,2013,05,0
1037,California,CA,6368296,0.19399999999999998,0,All Races,2013,06,0
1041,Colorado,CO,722130,0.16,0,All Races,2013,08,0
1045,Connecticut,CT,322785,0.109,0,All Races,2013,09,0
1049,Delaware,DE,82347,0.109,0,All Races,2013,10,0
1053,District of Columbia,DC,40687,0.075,0,All Races,2013,11,0
1057,Florida,FL,3778848,0.243,0,All Races,2013,12,0
1061,Georgia,GA,1810621,0.212,0,All Races,2013,13,0
1065,Hawaii,HI,88089,0.076,0,All Races,2013,15,0
1069,Idaho,ID,256305,0.188,0,All Races,2013,16,0
1073,Illinois,IL,1588326,0.146,0,All Races,2013,17,0
1077,Indiana,IN,887375,0.161,0,All Races,2013,18,0
1081,Iowa,IA,244164,0.096,0,All Races,2013,19,0
1085,Kansas,KS,341248,0.141,0,All Races,2013,20,0
1089,Kentucky,KY,615363,0.168,0,All Races,2013,21,0
1093,Louisiana,LA,746374,0.191,0,All Races,2013,22,0
1097,Maine,ME,143651,0.135,0,All Races,2013,23,0
1101,Maryland,MD,584728,0.11699999999999999,0,All Races,2013,24,0
1105,Massachusetts,MA,238392,0.043,0,All Races,2013,25,2
1109,Michigan,MI,1059974,0.129,0,All Races,2013,26,0
1113,Minnesota,MN,433829,0.095,0,All Races,2013,27,0
1117,Mississippi,MS,498591,0.2,0,All Races,2013,28,0
1121,Missouri,MO,762811,0.153,0,All Races,2013,29,0
